X,favoriteCount,replyToSN,truncated,replyToSID,id,replyToUID,screenName,retweetCount,isRetweet,retweeted,,,,,,
240,0,NA,0,NA,8.01481249122501E+017,NA,Sajesh,66,1,0,,,,,,
241,0,NA,0,NA,8.01481230034223E+017,NA,wilsonmpaul,66,1,0,,,,,,
242,0,NA,0,NA,8.01481207619944E+017,NA,imsanjeevthakur,338,1,0,,,,,,
243,0,NA,0,NA,8.01481134244827E+017,NA,journomanish,66,1,0,,,,,,
244,0,NA,0,NA,8.01481089021661E+017,NA,nilleo007,76,1,0,,,,,,
245,0,NA,0,NA,8.01481074094158E+017,NA,calamur,66,1,0,,,,,,
246,0,NA,0,NA,8.01480848411226E+017,NA,ikaveri,66,1,0,,,,,,
247,0,NA,0,NA,8.0148083960336E+017,NA,aap_jehanabad,221,1,0,,,,,,
248,0,NA,0,NA,8.01480799929258E+017,NA,ka979896,270,1,0,,,,,,
249,0,NA,0,NA,8.01480744044372E+017,NA,sareen_prashant,66,1,0,,,,,,
250,0,NA,0,NA,8.01480709504319E+017,NA,somthakur001,59,1,0,,,,,,
251,0,NA,0,NA,8.01480549869257E+017,NA,AlwaysProIndian,19,1,0,,,,,,
252,0,YRDeshmukh,0,8.01443083028201E+017,8.0148048398914E+017,103849564,DeepuBajrangi,0,0,0,,,,,,
253,0,NA,0,NA,8.0148041763942E+017,NA,vipan2u,8,1,0,,,,,,
254,0,NA,0,NA,8.01480411385709E+017,NA,Jaiiihinddd,76,1,0,,,,,,
255,0,NA,0,NA,8.01480366703968E+017,NA,sunilaol2305,2,1,0,,,,,,
256,0,NA,0,NA,8.01480349960245E+017,NA,ParthPa07241800,95,1,0,,,,,,
257,0,NA,0,NA,8.0148034807695E+017,NA,KapilGurjarBJP,27,1,0,,,,,,
258,0,NA,0,NA,8.01480338178503E+017,NA,ChankyaBihar,76,1,0,,,,,,
259,0,NA,0,NA,8.0148020879666E+017,NA,annatarajgowda,45,1,0,,,,,,
260,0,NA,0,NA,8.01480208012296E+017,NA,siddromi,0,0,0,,,,,,
261,0,NA,0,NA,8.01480030413058E+017,NA,Girish8003,76,1,0,,,,,,
262,0,NA,0,NA,8.01480016630399E+017,NA,rrtwts,48,1,0,,,,,,
263,0,NA,0,NA,8.01479967779353E+017,NA,Jain_Sahab2016,0,0,0,,,,,,
264,0,NA,0,NA,8.01479852176142E+017,NA,hasit108,76,1,0,,,,,,
265,0,NA,0,NA,8.01479635657753E+017,NA,brijwhiz,1,1,0,,,,,,
266,1,NA,0,NA,8.01479631668912E+017,NA,Vipul_88,3,0,0,,,,,,
267,0,NA,0,NA,8.0147962135937E+017,NA,soaddictedto,0,0,0,,,,,,
268,0,suraj_agarwal_,0,8.01478766832865E+017,8.01479579797852E+017,2549309647,Mohitmsood,0,0,0,,,,,,
